class	xtl	ytl	xbr	ybr	temporary	occluded	data
4.2.3	1131	926	1144	938	false	true	
8.22.3	1133	939	1138	963	false	true	
4.2.3	1122	970	1130	977	false	true	
5.19.2	1157	945	1159	955	false	true	
5.6	1183	925	1198	942	false	false	
2.4	1180	884	1203	903	false	false	
3.1	1251	920	1260	929	false	false	
2.2	1352	938	1379	967	false	false	
5.15.5	2036	865	2109	939	false	false	
6.7	453	909	494	951	false	false	
3.1	1042	915	1051	924	false	false	
6.7	1697	873	1742	918	false	false	
4.1.2	1182	906	1199	923	false	false	
8	1042	925	1051	928	false	false	12 т без пропуска
8	1042	930	1051	934	false	false	6.00 - 22.00
8.1.1	1042	935	1049	939	false	false	250 м
8.1.1	1251	940	1260	944	false	false	250 м
8	1252	930	1260	935	false	false	12 т без пропуска
8	1252	936	1260	939	false	false	6.00 - 22.00
