5.4	1425	992	1435	1008	false	true	
6.9.1	1276	671	1507	798	false	true	Сколковское ш. Сколково 100 м
6.9.2	1073	668	1204	793	false	true	Заречье МКАД
6.9.2	695	671	1012	799	false	true	Внуково М3 Калуга Ленинский пр-т МКАД МКАД
8.22.3	1327	996	1334	1019	false	true	
5.15.5	2182	826	2247	896	false	true	
6.10.1	1278	894	1332	919	false	true	Сколково
6.10.2	1369	965	1402	978	false	true	53
3.24	1553	918	1589	953	false	true	100
5.3	1555	864	1588	915	false	true	
4.2.3	1323	983	1335	994	false	true	
4.2.3	1327	1020	1338	1028	false	true	
2.1	1312	988	1322	998	false	true	
4.1.1	1313	1002	1320	1010	false	true	
5.3	1306	998	1312	1008	false	true	
